Primary_Language,Secondary_Language,Lang_3,Lang_4,Lang_5,Lang_6,framework,Best_fit_Job
C#,C/C++,,,,,None,Game Developer
Java,C#,,JavaScript,SQL,PHP,None,Mobile App Developer (Android)
Java,Kotlin,,,Python,,React,Mobile App Developer (Android)
C#,Kotlin,,SQL,,,None,Mobile App Developer (Android)
C/C++,PHP,,,,,None,Game Developer
C/C++,Java,,,,,None,Game Developer
Python,,,C#,,,None,Cybersecurity Analyst
C/C++,Java,,SQL,Swift,PHP,React,Mobile App Developer (iOS)
Java,C#,,SQL,Kotlin,,React,Mobile App Developer (Android)
C#,Swift,PHP,Kotlin,C/C++,,None,Mobile App Developer (iOS)
Python,Java,C#,JavaScript,HTML/CSS,,None,Cybersecurity Analyst
C#,Swift,,,,,None,Mobile App Developer (iOS)
JavaScript,C/C++,,,,,None,Front-End Developer
C/C++,C#,,Kotlin,,,None,Mobile App Developer (Android)
Python,Swift,,SQL,HTML/CSS,Kotlin,React,Mobile App Developer (iOS)
Java,Swift,,,,Kotlin,None,Mobile App Developer (iOS)
C#,Java,,,,,None,Game Developer
Java,Swift,,,,,None,Mobile App Developer (iOS)
JavaScript,HTML/CSS,,Swift,,C/C++,React,Mobile App Developer (iOS)
JavaScript,C#,,C/C++,,,React,Front-End Developer
Java,C/C++,,SQL,,,React,Mobile App Developer (Android)
Python,PHP,,,,,None,Cybersecurity Analyst
Java,Python,,PHP,JavaScript,Kotlin,None,Mobile App Developer (Android)
Python,PHP,Java,Kotlin,,,React,Mobile App Developer (Android)
C#,Java,,,,,None,Game Developer
Java,SQL,,,,,None,Mobile App Developer (Android)
Python,,,Java,,,None,Cybersecurity Analyst
JavaScript,C/C++,Swift,PHP,Java,HTML/CSS,None,Mobile App Developer (iOS)
Java,Swift,JavaScript,Kotlin,Python,HTML/CSS,None,Mobile App Developer (iOS)
JavaScript,Swift,,HTML/CSS,,C#,None,Mobile App Developer (iOS)
JavaScript,SQL,,HTML/CSS,,,None,Database Administrator
C/C++,Python,,,JavaScript,Java,None,Game Developer
C#,Java,JavaScript,PHP,,,None,Game Developer
C/C++,JavaScript,,,,,None,Game Developer
C#,Java,,,JavaScript,,None,Game Developer
C/C++,C#,,,,,None,Game Developer
Python,JavaScript,,SQL,,,None,Database Administrator
C/C++,Python,,,,JavaScript,None,Game Developer
JavaScript,Java,,HTML/CSS,,,React,Front-End Developer
JavaScript,Java,Swift,,Kotlin,PHP,None,Mobile App Developer (iOS)
Python,Kotlin,Java,PHP,,,None,Mobile App Developer (Android)
C/C++,Kotlin,HTML/CSS,Java,PHP,SQL,None,Mobile App Developer (Android)
Java,HTML/CSS,SQL,C#,C/C++,PHP,React,Mobile App Developer (Android)
C#,JavaScript,,PHP,SQL,Java,None,Database Administrator
Java,JavaScript,Swift,,C/C++,SQL,None,Mobile App Developer (iOS)
JavaScript,C/C++,,,,Python,None,Front-End Developer
JavaScript,HTML/CSS,SQL,C#,C/C++,,None,Database Administrator
Python,C#,SQL,C/C++,,,None,Database Administrator
C/C++,Python,,,Java,,None,Game Developer
C#,Python,,,,C/C++,None,Game Developer
JavaScript,SQL,,Kotlin,,PHP,None,Mobile App Developer (Android)
C/C++,SQL,Swift,Java,,HTML/CSS,None,Mobile App Developer (iOS)
C/C++,Java,Python,JavaScript,,,None,Game Developer
C#,Java,,JavaScript,HTML/CSS,,None,Game Developer
C#,HTML/CSS,,,Python,,None,Game Developer
JavaScript,Java,C/C++,,,HTML/CSS,None,Front-End Developer
C/C++,PHP,,Java,,,None,Game Developer
C#,SQL,Python,Swift,,,None,Mobile App Developer (iOS)
Java,C#,,Swift,JavaScript,,None,Mobile App Developer (iOS)
C#,PHP,Kotlin,,SQL,Swift,React,Mobile App Developer (iOS)
JavaScript,PHP,Kotlin,,,,None,Mobile App Developer (Android)
Python,C#,HTML/CSS,PHP,,,None,Cybersecurity Analyst
JavaScript,Java,C/C++,Swift,,,None,Mobile App Developer (iOS)
C#,Python,,SQL,Kotlin,,None,Mobile App Developer (Android)
Python,HTML/CSS,C#,,JavaScript,,None,Cybersecurity Analyst
Java,SQL,C#,PHP,,,React,Mobile App Developer (Android)
Python,PHP,,,,,None,Cybersecurity Analyst
C/C++,Swift,,,,Java,None,Mobile App Developer (iOS)
JavaScript,Java,,,,,React,Front-End Developer
Python,C#,,Kotlin,,,None,Mobile App Developer (Android)
C#,SQL,HTML/CSS,Java,,,None,Database Administrator
Python,SQL,Kotlin,Swift,,,None,Mobile App Developer (iOS)
Java,,,,,C/C++,None,Mobile App Developer (Android)
C/C++,,HTML/CSS,PHP,Python,Swift,React,Mobile App Developer (iOS)
JavaScript,PHP,,,,,React,Front-End Developer
C/C++,SQL,,PHP,Python,,None,Database Administrator
JavaScript,C#,Python,SQL,,HTML/CSS,None,Database Administrator
C/C++,PHP,,,HTML/CSS,Java,None,Game Developer
Python,JavaScript,,,,,None,Cybersecurity Analyst
Python,JavaScript,PHP,,,,None,Cybersecurity Analyst
C/C++,PHP,,,Python,,None,Game Developer
Python,HTML/CSS,C#,,,C/C++,None,Cybersecurity Analyst
Python,PHP,Java,,SQL,,None,Database Administrator
JavaScript,PHP,C/C++,Java,,C#,React,Front-End Developer
C/C++,Java,,,,Kotlin,None,Mobile App Developer (Android)
JavaScript,Python,,,,,None,Front-End Developer
Python,Swift,PHP,HTML/CSS,Java,,None,Mobile App Developer (iOS)
C/C++,HTML/CSS,PHP,,C#,,None,Game Developer
C/C++,Kotlin,C#,Java,PHP,HTML/CSS,React,Mobile App Developer (Android)
C/C++,PHP,HTML/CSS,Swift,,,React,Mobile App Developer (iOS)
JavaScript,SQL,C#,Java,,,None,Database Administrator
